          15
         899           1         210
  0.000000000000E+00  0.000000000000E+00
  0.697811114178E-09  0.564619582977E-12
  0.141328740082E-08  0.231587182193E-11
  0.214687605588E-08  0.534344620509E-11
  0.289903559617E-08  0.974198974668E-11
  0.367023614587E-08  0.156113060354E-10
  0.446095973043E-08  0.228663455500E-10
  0.527170057784E-08  0.317386596038E-10
  0.610296542751E-08  0.423329861445E-10
  0.695527384705E-08  0.547248460485E-10
  0.782915855694E-08  0.690335585928E-10
  0.872516576360E-08  0.853639558480E-10
  0.964385550068E-08  0.103827829790E-09
  0.105858019792E-07  0.124543263101E-09
  0.115515939463E-07  0.147632135855E-09
  0.125418350535E-07  0.173221273501E-09
  0.135571442336E-07  0.201442368594E-09
  0.145981560881E-07  0.232432075937E-09
  0.156655212830E-07  0.266332163057E-09
  0.167599069566E-07  0.303289640636E-09
  0.178819971353E-07  0.343456906496E-09
  0.190324931622E-07  0.386991897060E-09
  0.202121141347E-07  0.434058246784E-09
  0.214215973542E-07  0.484825456385E-09
  0.226616987873E-07  0.539469070479E-09
  0.239331935375E-07  0.598170865407E-09
  0.252368763306E-07  0.661119048111E-09
  0.265735620108E-07  0.728508466987E-09
  0.279440860500E-07  0.800540835696E-09
  0.293493050705E-07  0.877424970975E-09
  0.307900973799E-07  0.959377045509E-09
  0.322673635202E-07  0.104662085698E-08
  0.337820268309E-07  0.113938811448E-08
  0.353350340258E-07  0.123791874334E-08
  0.369273557851E-07  0.134246120976E-08
  0.385599873616E-07  0.145327286622E-08
  0.402339492033E-07  0.157062031913E-08
  0.419502875907E-07  0.169477981966E-08
  0.437100752913E-07  0.182603767928E-08
  0.455144122296E-07  0.196469071100E-08
  0.473644261750E-07  0.211104669763E-08
  0.492612734463E-07  0.226542488821E-08
  0.512061396350E-07  0.242815652387E-08
  0.532002403456E-07  0.259958539421E-08
  0.552448219561E-07  0.278006842539E-08
  0.573411623964E-07  0.296997630106E-08
  0.594905719477E-07  0.316969411724E-08
  0.616943940608E-07  0.337962207223E-08
  0.639540061963E-07  0.360017619255E-08
  0.662708206853E-07  0.383178909611E-08
  0.686462856124E-07  0.407491079342E-08
  0.710818857204E-07  0.433000952803E-08
  0.735791433387E-07  0.459757265701E-08
  0.761396193346E-07  0.487810757263E-08
  0.787649140889E-07  0.517214266598E-08
  0.814566684964E-07  0.548022833371E-08
  0.842165649911E-07  0.580293802865E-08
  0.870463285981E-07  0.614086935539E-08
  0.899477280120E-07  0.649464521171E-08
  0.929225767017E-07  0.686491497696E-08
  0.959727340445E-07  0.725235574821E-08
  0.991001064881E-07  0.765767362544E-08
  0.102306648742E-06  0.808160504664E-08
  0.105594365000E-06  0.852491817412E-08
  0.108965310190E-06  0.898841433312E-08
  0.112421591265E-06  0.947292950405E-08
  0.115965368512E-06  0.997933586971E-08
  0.119598856906E-06  0.105085434189E-07
  0.123324327498E-06  0.110615016081E-07
  0.127144108826E-06  0.116392010827E-07
  0.131060588379E-06  0.122426754599E-07
  0.135076214084E-06  0.128730031755E-07
  0.139193495838E-06  0.135313093955E-07
  0.143415007075E-06  0.142187679968E-07
  0.147743386379E-06  0.149366036182E-07
  0.152181339126E-06  0.156860937853E-07
  0.156731639181E-06  0.164685711111E-07
  0.161397130631E-06  0.172854255782E-07
  0.166180729560E-06  0.181381069029E-07
  0.171085425872E-06  0.190281269880E-07
  0.176114285162E-06  0.199570624666E-07
  0.181270450631E-06  0.209265573426E-07
  0.186557145050E-06  0.219383257313E-07
  0.191977672776E-06  0.229941547070E-07
  0.197535421815E-06  0.240959072613E-07
  0.203233865940E-06  0.252455253786E-07
  0.209076566865E-06  0.264450332353E-07
  0.215067176468E-06  0.276965405269E-07
  0.221209439075E-06  0.290022459329E-07
  0.227507193801E-06  0.303644407222E-07
  0.233964376946E-06  0.317855125101E-07
  0.240585024461E-06  0.332679491709E-07
  0.247373274466E-06  0.348143429158E-07
  0.254333369838E-06  0.364273945425E-07
  0.261469660863E-06  0.381099178654E-07
  0.268786607955E-06  0.398648443342E-07
  0.276288784445E-06  0.416952278487E-07
  0.283980879437E-06  0.436042497801E-07
  0.291867700741E-06  0.455952242056E-07
  0.299954177877E-06  0.476716033666E-07
  0.308245365156E-06  0.498369833605E-07
  0.316746444840E-06  0.520951100736E-07
  0.325462730381E-06  0.544498853671E-07
  0.334399669741E-06  0.569053735257E-07
  0.343562848798E-06  0.594658079792E-07
  0.352957994837E-06  0.621355983080E-07
  0.362590980131E-06  0.649193375444E-07
  0.372467825608E-06  0.678218097817E-07
  0.382594704619E-06  0.708479981017E-07
  0.392977946792E-06  0.740030928363E-07
  0.403624041993E-06  0.772925001737E-07
  0.414539644377E-06  0.807218511243E-07
  0.425731576551E-06  0.842970108619E-07
  0.437206833836E-06  0.880240884532E-07
  0.448972588643E-06  0.919094469926E-07
  0.461036194951E-06  0.959597141591E-07
  0.473405192906E-06  0.100181793212E-06
  0.486087313536E-06  0.104582874442E-06
  0.499090483578E-06  0.109170447102E-06
  0.512422830436E-06  0.113952311827E-06
  0.526092687262E-06  0.118936593573E-06
  0.540108598161E-06  0.124131755095E-06
  0.554479323534E-06  0.129546610979E-06
  0.569213845552E-06  0.135190342259E-06
  0.584321373771E-06  0.141072511642E-06
  0.599811350887E-06  0.147203079358E-06
  0.615693458641E-06  0.153592419677E-06
  0.631977623866E-06  0.160251338095E-06
  0.648674024698E-06  0.167191089259E-06
  0.665793096928E-06  0.174423395608E-06
  0.683345540535E-06  0.181960466804E-06
  0.701342326368E-06  0.189815019962E-06
