            2
          529            1
  0.000000000000E+00  0.000000000000E+00
  0.510846319546E-05 -0.102802527863E-09
  0.103027809112E-04 -0.418150081271E-09
  0.155843960465E-04 -0.956760438107E-09
  0.209547757508E-04 -0.172977370620E-08
  0.264154118307E-04 -0.274876763064E-08
  0.319678211647E-04 -0.402577343664E-08
  0.376135461243E-04 -0.557329222630E-08
  0.433541550030E-04 -0.740431194844E-08
  0.491912424510E-04 -0.953232496114E-08
  0.551264299192E-04 -0.119713462074E-07
  0.611613661089E-04 -0.147359320248E-07
  0.672977274301E-04 -0.178411996118E-07
  0.735372184670E-04 -0.213028471715E-07
  0.798815724517E-04 -0.251371747584E-07
  0.863325517456E-04 -0.293611058502E-07
  0.928919483287E-04 -0.339922096710E-07
  0.995615842980E-04 -0.390487242912E-07
  0.106343312373E-03 -0.445495805305E-07
  0.113239016411E-03 -0.505144266918E-07
  0.120250611928E-03 -0.569636541546E-07
  0.127380046637E-03 -0.639184238576E-07
  0.134629300981E-03 -0.714006937003E-07
  0.142000388688E-03 -0.794332468953E-07
  0.149495357331E-03 -0.880397213050E-07
  0.157116288893E-03 -0.972446397948E-07
  0.164865300349E-03 -0.107073441638E-06
  0.172744544251E-03 -0.117552515012E-06
  0.180756209330E-03 -0.128709230613E-06
  0.188902521099E-03 -0.140571976442E-06
  0.197185742474E-03 -0.153170193793E-06
  0.205608174405E-03 -0.166534414483E-06
  0.214172156510E-03 -0.180696299370E-06
  0.222880067727E-03 -0.195688678209E-06
  0.231734326977E-03 -0.211545590877E-06
  0.240737393834E-03 -0.228302330030E-06
  0.249891769206E-03 -0.245995485224E-06
  0.259199996036E-03 -0.264662988572E-06
  0.268664660001E-03 -0.284344161966E-06
  0.278288390236E-03 -0.305079765931E-06
  0.288073860060E-03 -0.326912050172E-06
  0.298023787723E-03 -0.349884805850E-06
  0.308140937158E-03 -0.374043419676E-06
  0.318428118749E-03 -0.399434929856E-06
  0.328888190112E-03 -0.426108083974E-06
  0.339524056891E-03 -0.454113398860E-06
  0.350338673561E-03 -0.483503222526E-06
  0.361335044251E-03 -0.514331798233E-06
  0.372516223580E-03 -0.546655330762E-06
  0.383885317504E-03 -0.580532054964E-06
  0.395445484175E-03 -0.616022306674E-06
  0.407199934828E-03 -0.653188596056E-06
  0.419151934661E-03 -0.692095683475E-06
  0.431304803753E-03 -0.732810657978E-06
  0.443661917977E-03 -0.775403018467E-06
  0.456226709946E-03 -0.819944757669E-06
  0.469002669960E-03 -0.866510448979E-06
  0.481993346979E-03 -0.915177336300E-06
  0.495202349607E-03 -0.966025426955E-06
  0.508633347098E-03 -0.101913758780E-05
  0.522290070371E-03 -0.107459964461E-05
  0.536176313046E-03 -0.113250048492E-05
  0.550295932504E-03 -0.119293216437E-05
  0.564652850951E-03 -0.125599001667E-05
  0.579251056513E-03 -0.132177276738E-05
  0.594094604341E-03 -0.139038265156E-05
  0.609187617738E-03 -0.146192553552E-05
  0.624534289304E-03 -0.153651104259E-05
  0.640138882103E-03 -0.161425268341E-05
  0.656005730845E-03 -0.169526799049E-05
  0.672139243088E-03 -0.177967865751E-05
  0.688543900468E-03 -0.186761068330E-05
  0.705224259940E-03 -0.195919452085E-05
  0.722184955045E-03 -0.205456523132E-05
  0.739430697195E-03 -0.215386264339E-05
  0.756966276985E-03 -0.225723151801E-05
  0.774796565523E-03 -0.236482171888E-05
  0.792926515781E-03 -0.247678838861E-05
  0.811361163972E-03 -0.259329213110E-05
  0.830105630952E-03 -0.271449919996E-05
  0.849165123637E-03 -0.284058169355E-05
  0.868544936453E-03 -0.297171775653E-05
  0.888250452805E-03 -0.310809178845E-05
  0.908287146576E-03 -0.324989465936E-05
  0.928660583643E-03 -0.339732393281E-05
  0.949376423424E-03 -0.355058409653E-05
  0.970440420452E-03 -0.370988680094E-05
  0.991858425974E-03 -0.387545110578E-05
  0.101363638957E-02 -0.404750373526E-05
  0.103578036082E-02 -0.422627934182E-05
  0.105829649097E-02 -0.441202077897E-05
  0.108119103464E-02 -0.460497938340E-05
  0.110447035157E-02 -0.480541526679E-05
  0.112814090840E-02 -0.501359761747E-05
  0.115220928042E-02 -0.522980501248E-05
  0.117668215346E-02 -0.545432574024E-05
  0.120156632569E-02 -0.568745813421E-05
  0.122686870953E-02 -0.592951091799E-05
  0.125259633360E-02 -0.618080356213E-05
  0.127875634462E-02 -0.644166665315E-05
  0.130535600943E-02 -0.671244227517E-05
  0.133240271699E-02 -0.699348440448E-05
  0.135990398045E-02 -0.728515931763E-05
  0.138786743924E-02 -0.758784601344E-05
  0.141630086115E-02 -0.790193664934E-05
  0.144521214454E-02 -0.822783699263E-05
  0.147460932052E-02 -0.856596688713E-05
  0.150450055514E-02 -0.891676073571E-05
  0.153489415174E-02 -0.928066799927E-05
  0.156579855315E-02 -0.965815371273E-05
  0.159722234415E-02 -0.100496990186E-04
  0.162917425376E-02 -0.104558017188E-04
  0.166166315772E-02 -0.108769768449E-04
  0.169469808094E-02 -0.113137572488E-04
  0.172828819999E-02 -0.117666942119E-04
  0.176244284567E-02 -0.122363580768E-04
  0.179717150562E-02 -0.127233388989E-04
  0.183248382690E-02 -0.132282471216E-04
  0.186838961872E-02 -0.137517142735E-04
  0.190489885514E-02 -0.142943936897E-04
  0.194202167784E-02 -0.148569612577E-04
  0.197976839897E-02 -0.154401161887E-04
  0.201814950397E-02 -0.160445818148E-04
  0.205717565450E-02 -0.166711064139E-04
  0.209685769141E-02 -0.173204640625E-04
  0.213720663774E-02 -0.179934555168E-04
