           3
         677           1
  0.000000000000E+00  0.000000000000E+00
  0.547335342371E-06  0.752211892839E-12
  0.110386938334E-05  0.305962772203E-11
  0.166975671927E-05  0.700067007335E-11
  0.224515454473E-05  0.126568517451E-10
  0.283022269615E-05  0.201128877528E-10
  0.342512369621E-05  0.294568112522E-10
  0.403002279904E-05  0.407800935157E-10
  0.464508803603E-05  0.541777681014E-10
  0.527049026261E-05  0.697485593595E-10
  0.590640320563E-05  0.875950154246E-10
  0.655300351167E-05  0.107823645848E-09
  0.721047079608E-05  0.130545064033E-09
  0.787898769289E-05  0.155874134627E-09
  0.855873990554E-05  0.183930126061E-09
  0.924991625845E-05  0.214836868391E-09
  0.995270874951E-05  0.248722916639E-09
  0.106673126034E-04  0.285721719815E-09
  0.113939263257E-04  0.325971795816E-09
  0.121327517583E-04  0.369616912410E-09
  0.128839941352E-04  0.416806274501E-09
  0.136478621397E-04  0.467694717904E-09
  0.144245679622E-04  0.522442909846E-09
  0.152143273595E-04  0.581217556424E-09
  0.160173597140E-04  0.644191617258E-09
  0.168338880957E-04  0.711544527592E-09
  0.176641393231E-04  0.783462428088E-09
  0.185083440269E-04  0.860138402587E-09
  0.193667367139E-04  0.941772724100E-09
  0.202395558320E-04  0.102857310932E-08
  0.211270438365E-04  0.112075498195E-08
  0.220294472577E-04  0.121854174511E-08
  0.229470167689E-04  0.132216506321E-08
  0.238800072565E-04  0.143186515354E-08
  0.248286778904E-04  0.154789108796E-08
  0.257932921965E-04  0.167050110496E-08
  0.267741181293E-04  0.179996293257E-08
  0.277714281467E-04  0.193655412239E-08
  0.287854992858E-04  0.208056239513E-08
  0.298166132395E-04  0.223228599808E-08
  0.308650564350E-04  0.239203407496E-08
  0.319311201132E-04  0.256012704846E-08
  0.330151004098E-04  0.273689701599E-08
  0.341172984374E-04  0.292268815912E-08
  0.352380203692E-04  0.311785716701E-08
  0.363775775240E-04  0.332277367456E-08
  0.375362864529E-04  0.353782071558E-08
  0.387144690269E-04  0.376339519154E-08
  0.399124525265E-04  0.399990835652E-08
  0.411305697325E-04  0.424778631877E-08
  0.423691590188E-04  0.450747055963E-08
  0.436285644458E-04  0.477941847018E-08
  0.449091358566E-04  0.506410390639E-08
  0.462112289735E-04  0.536201776342E-08
  0.475352054975E-04  0.567366856954E-08
  0.488814332085E-04  0.599958310053E-08
  0.502502860671E-04  0.634030701518E-08
  0.516421443191E-04  0.669640551262E-08
  0.530573946008E-04  0.706846401216E-08
  0.544964300463E-04  0.745708885657E-08
  0.559596503969E-04  0.786290803941E-08
  0.574474621121E-04  0.828657195735E-08
  0.589602784826E-04  0.872875418833E-08
  0.604985197448E-04  0.919015229636E-08
  0.620626131979E-04  0.967148866396E-08
  0.636529933223E-04  0.101735113531E-07
  0.652701019005E-04  0.106969949957E-07
  0.669143881398E-04  0.112427417145E-07
  0.685863087968E-04  0.118115820761E-07
  0.702863283048E-04  0.124043760754E-07
  0.720149189023E-04  0.130220141551E-07
  0.737725607645E-04  0.136654182594E-07
  0.755597421365E-04  0.143355429239E-07
  0.773769594691E-04  0.150333764029E-07
  0.792247175566E-04  0.157599418350E-07
  0.811035296770E-04  0.165162984492E-07
  0.830139177346E-04  0.173035428117E-07
  0.849564124051E-04  0.181228101155E-07
  0.869315532827E-04  0.189752755142E-07
  0.889398890306E-04  0.198621555015E-07
  0.909819775325E-04  0.207847093378E-07
  0.930583860485E-04  0.217442405253E-07
  0.951696913720E-04  0.227420983340E-07
  0.973164799903E-04  0.237796793797E-07
  0.994993482474E-04  0.248584292556E-07
  0.101718902510E-03  0.259798442204E-07
  0.103975759334E-03  0.271454729429E-07
  0.106270545640E-03  0.283569183079E-07
  0.108603898883E-03  0.296158392819E-07
  0.110976467231E-03  0.309239528440E-07
  0.113388909747E-03  0.322830359820E-07
  0.115841896568E-03  0.336949277569E-07
  0.118336109097E-03  0.351615314377E-07
  0.120872240186E-03  0.366848167094E-07
  0.123450994331E-03  0.382668219562E-07
  0.126073087871E-03  0.399096566222E-07
  0.128739249181E-03  0.416155036536E-07
  0.131450218878E-03  0.433866220237E-07
  0.134206750029E-03  0.452253493434E-07
  0.137009608352E-03  0.471341045622E-07
  0.139859572438E-03  0.491153907600E-07
  0.142757433963E-03  0.511717980352E-07
  0.145703997906E-03  0.533060064903E-07
  0.148700082775E-03  0.555207893198E-07
  0.151746520837E-03  0.578190160038E-07
  0.154844158344E-03  0.602036556097E-07
  0.157993855770E-03  0.626777802068E-07
  0.161196488051E-03  0.652445683976E-07
  0.164452944829E-03  0.679073089688E-07
  0.167764130695E-03  0.706694046674E-07
  0.171130965445E-03  0.735343761052E-07
  0.174554384332E-03  0.765058657959E-07
  0.178035338328E-03  0.795876423307E-07
  0.181574794386E-03  0.827836046953E-07
  0.185173735713E-03  0.860977867347E-07
  0.188833162037E-03  0.895343617691E-07
  0.192554089888E-03  0.930976473680E-07
  0.196337552882E-03  0.967921102867E-07
  0.200184602006E-03  0.100622371570E-06
  0.204096305907E-03  0.104593211831E-06
  0.208073751198E-03  0.108709576710E-06
  0.212118042747E-03  0.112976582515E-06
  0.216230303997E-03  0.117399522062E-06
  0.220411677268E-03  0.121983870705E-06
  0.224663324079E-03  0.126735292582E-06
  0.228986425472E-03  0.131659647059E-06
  0.233382182335E-03  0.136762995412E-06
  0.237851815740E-03  0.142051607716E-06
  0.242396567280E-03  0.147531969987E-06
  0.247017699417E-03  0.153210791554E-06
  0.251716495827E-03  0.159095012687E-06
  0.256494261762E-03  0.165191812487E-06
