           5
         657           0
  0.000000000000E+00  0.000000000000E+00
  0.520186466933E-08  0.112775327816E-07
  0.105354151697E-07  0.228405576649E-07
  0.160039851438E-07  0.346963019166E-07
  0.216109926260E-07  0.468521757631E-07
  0.273599421783E-07  0.593157770210E-07
  0.332544270814E-07  0.720948958469E-07
  0.392981315803E-07  0.851975196061E-07
  0.454948331869E-07  0.986318378650E-07
  0.518484050416E-07  0.112406247510E-06
  0.583628183336E-07  0.126529357995E-06
  0.650421447832E-07  0.141009996724E-06
  0.718905591869E-07  0.155857214568E-06
  0.789123420266E-07  0.171080291521E-06
  0.861118821452E-07  0.186688742502E-06
  0.934936794896E-07  0.202692323300E-06
  0.101062347923E-06  0.219101036676E-06
  0.108822618111E-06  0.235925138608E-06
  0.116779340474E-06  0.253175144708E-06
  0.124937488222E-06  0.270861836792E-06
  0.133302160463E-06  0.288996269617E-06
  0.141878585391E-06  0.307589777795E-06
  0.150672123549E-06  0.326653982874E-06
  0.159688271186E-06  0.346200800602E-06
  0.168932663687E-06  0.366242448376E-06
  0.178411079098E-06  0.386791452880E-06
  0.188129441737E-06  0.407860657909E-06
  0.198093825899E-06  0.429463232403E-06
  0.208310459646E-06  0.451612678673E-06
  0.218785728707E-06  0.474322840846E-06
  0.229526180468E-06  0.497607913511E-06
  0.240538528059E-06  0.521482450597E-06
  0.251829654557E-06  0.545961374467E-06
  0.263406617283E-06  0.571059985245E-06
  0.275276652216E-06  0.596793970380E-06
  0.287447178514E-06  0.623179414450E-06
  0.299925803152E-06  0.650232809217E-06
  0.312720325676E-06  0.677971063933E-06
  0.325838743081E-06  0.706411515910E-06
  0.339289254802E-06  0.735571941356E-06
  0.353080267850E-06  0.765470566488E-06
  0.367220402054E-06  0.796126078918E-06
  0.381718495461E-06  0.827557639340E-06
  0.396583609849E-06  0.859784893503E-06
  0.411825036400E-06  0.892827984488E-06
  0.427452301501E-06  0.926707565305E-06
  0.443475172701E-06  0.961444811793E-06
  0.459903664817E-06  0.997061435863E-06
  0.476748046191E-06  0.103357969906E-05
  0.494018845109E-06  0.107102242650E-05
  0.511726856384E-06  0.110941302109E-05
  0.529883148098E-06  0.114877547821E-05
  0.548499068525E-06  0.118913440068E-05
  0.567586253222E-06  0.123051501414E-05
  0.587156632299E-06  0.127294318281E-05
  0.607222437882E-06  0.131644542568E-05
  0.627796211752E-06  0.136104893308E-05
  0.648890813186E-06  0.140678158364E-05
  0.670519426998E-06  0.145367196176E-05
  0.692695571776E-06  0.150174937546E-05
  0.715433108332E-06  0.155104387468E-05
  0.738746248366E-06  0.160158627009E-05
  0.762649563349E-06  0.165340815233E-05
  0.787157993633E-06  0.170654191176E-05
  0.812286857783E-06  0.176102075872E-05
  0.838051862157E-06  0.181687874425E-05
  0.864469110723E-06  0.187415078142E-05
  0.891555115120E-06  0.193287266712E-05
  0.919326804982E-06  0.199308110443E-05
  0.947801538521E-06  0.205481372558E-05
  0.976997113372E-06  0.211810911548E-05
  0.100693177772E-05  0.218300683580E-05
  0.103762424170E-05  0.224954744974E-05
  0.106909368911E-05  0.231777254734E-05
  0.110135978937E-05  0.238772477150E-05
  0.113444270985E-05  0.245944784465E-05
  0.116836312844E-05  0.253298659605E-05
  0.120314224653E-05  0.260838698979E-05
  0.123880180217E-05  0.268569615360E-05
  0.127536408377E-05  0.276496240820E-05
  0.131285194393E-05  0.284623529759E-05
  0.135128881379E-05  0.292956561997E-05
  0.139069871765E-05  0.301500545950E-05
  0.143110628797E-05  0.310260821887E-05
  0.147253678080E-05  0.319242865266E-05
  0.151501609155E-05  0.328452290155E-05
  0.155857077118E-05  0.337894852745E-05
  0.160322804276E-05  0.347576454944E-05
  0.164901581856E-05  0.357503148071E-05
  0.169596271743E-05  0.367681136630E-05
  0.174409808269E-05  0.378116782197E-05
  0.179345200053E-05  0.388816607389E-05
  0.184405531875E-05  0.399787299945E-05
  0.189593966607E-05  0.411035716905E-05
  0.194913747189E-05  0.422568888896E-05
  0.200368198658E-05  0.434394024527E-05
  0.205960730223E-05  0.446518514891E-05
  0.211694837399E-05  0.458949938190E-05
  0.217574104189E-05  0.471696064468E-05
  0.223602205326E-05  0.484764860469E-05
  0.229782908571E-05  0.498164494615E-05
  0.236120077062E-05  0.511903342116E-05
  0.242617671738E-05  0.525989990196E-05
  0.249279753807E-05  0.540433243471E-05
  0.256110487286E-05  0.555242129442E-05
  0.263114141606E-05  0.570425904148E-05
  0.270295094279E-05  0.585994057939E-05
  0.277657833635E-05  0.601956321421E-05
  0.285206961625E-05  0.618322671526E-05
  0.292947196700E-05  0.635103337756E-05
  0.300883376758E-05  0.652308808575E-05
  0.309020462172E-05  0.669949837961E-05
  0.317363538883E-05  0.688037452132E-05
  0.325917821587E-05  0.706582956436E-05
  0.334688656988E-05  0.725597942417E-05
  0.343681527145E-05  0.745094295059E-05
  0.352902052894E-05  0.765084200218E-05
  0.362355997363E-05  0.785580152236E-05
  0.372049269576E-05  0.806594961749E-05
  0.381987928143E-05  0.828141763698E-05
  0.392178185050E-05  0.850234025535E-05
  0.402626409539E-05  0.872885555642E-05
  0.413339132089E-05  0.896110511965E-05
  0.424323048503E-05  0.919923410856E-05
  0.435585024084E-05  0.944339136153E-05
  0.447132097934E-05  0.969372948478E-05
  0.458971487350E-05  0.995040494779E-05
  0.471110592337E-05  0.102135781811E-04
  0.483557000229E-05  0.104834136765E-04
  0.496318490437E-05  0.107600800900E-04
  0.509403039308E-05  0.110437503471E-04
  0.522818825111E-05  0.113346017509E-04
