           6
         593           0
  0.000000000000E+00  0.000000000000E+00
  0.184220909043E-05  0.351533007516E-05
  0.371590817425E-05  0.709074981185E-05
  0.562163552895E-05  0.107272863589E-04
  0.755993863312E-05  0.144259844229E-04
  0.953137432374E-05  0.181879065681E-04
  0.115365089561E-04  0.220141335218E-04
  0.135759185666E-04  0.259057644850E-04
  0.156501890382E-04  0.298639174478E-04
  0.177599162687E-04  0.338897295109E-04
  0.199057063417E-04  0.379843572120E-04
  0.220881757014E-04  0.421489768583E-04
  0.243079513289E-04  0.463847848644E-04
  0.265656709228E-04  0.506929980958E-04
  0.288619830822E-04  0.550748542186E-04
  0.311975474933E-04  0.595316120552E-04
  0.335730351184E-04  0.640645519455E-04
  0.359891283892E-04  0.686749761154E-04
  0.384465214025E-04  0.733642090504E-04
  0.409459201198E-04  0.781335978760E-04
  0.434880425700E-04  0.829845127451E-04
  0.460736190557E-04  0.879183472315E-04
  0.487033923629E-04  0.929365187300E-04
  0.513781179747E-04  0.980404688640E-04
  0.540985642879E-04  0.103231663899E-03
  0.568655128342E-04  0.108511595165E-03
  0.596797585042E-04  0.113881779484E-03
  0.625421097764E-04  0.119343759604E-03
  0.654533889488E-04  0.124899104648E-03
  0.684144323757E-04  0.130549410557E-03
  0.714260907075E-04  0.136296300555E-03
  0.744892291353E-04  0.142141425611E-03
  0.776047276397E-04  0.148086464917E-03
  0.807734812429E-04  0.154133126366E-03
  0.839964002666E-04  0.160283147046E-03
  0.872744105931E-04  0.166538293740E-03
  0.906084539313E-04  0.172900363429E-03
  0.939994880873E-04  0.179371183811E-03
  0.974484872396E-04  0.185952613827E-03
  0.100956442219E-03  0.192646544195E-03
  0.104524360793E-03  0.199454897949E-03
  0.108153267955E-03  0.206379630998E-03
  0.111844206221E-03  0.213422732681E-03
  0.115598235926E-03  0.220586226345E-03
  0.119416435529E-03  0.227872169922E-03
  0.123299901926E-03  0.235282656520E-03
  0.127249750761E-03  0.242819815029E-03
  0.131267116749E-03  0.250485810727E-03
  0.135353154002E-03  0.258282845904E-03
  0.139509036359E-03  0.266213160496E-03
  0.143735957726E-03  0.274279032727E-03
  0.148035132413E-03  0.282482779766E-03
  0.152407795493E-03  0.290826758387E-03
  0.156855203145E-03  0.299313365652E-03
  0.161378633024E-03  0.307945039598E-03
  0.165979384623E-03  0.316724259935E-03
  0.170658779651E-03  0.325653548761E-03
  0.175418162406E-03  0.334735471286E-03
  0.180258900166E-03  0.343972636567E-03
  0.185182383583E-03  0.353367698260E-03
  0.190190027078E-03  0.362923355382E-03
  0.195283269250E-03  0.372642353086E-03
  0.200463573288E-03  0.382527483448E-03
  0.205732427394E-03  0.392581586271E-03
  0.211091345208E-03  0.402807549901E-03
  0.216541866243E-03  0.413208312055E-03
  0.222085556328E-03  0.423786860667E-03
  0.227724008058E-03  0.434546234746E-03
  0.233458841252E-03  0.445489525246E-03
  0.239291703415E-03  0.456619875958E-03
  0.245224270216E-03  0.467940484411E-03
  0.251258245968E-03  0.479454602793E-03
  0.257395364114E-03  0.491165538880E-03
  0.263637387729E-03  0.503076656992E-03
  0.269986110027E-03  0.515191378956E-03
  0.276443354872E-03  0.527513185090E-03
  0.283010977306E-03  0.540045615205E-03
  0.289690864079E-03  0.552792269616E-03
  0.296484934195E-03  0.565756810184E-03
  0.303395139457E-03  0.578942961361E-03
  0.310423465034E-03  0.592354511264E-03
  0.317571930028E-03  0.605995312764E-03
  0.324842588054E-03  0.619869284588E-03
  0.332237527833E-03  0.633980412449E-03
  0.339758873787E-03  0.648332750191E-03
  0.347408786652E-03  0.662930420950E-03
  0.355189464102E-03  0.677777618342E-03
  0.363103141374E-03  0.692878607668E-03
  0.371152091915E-03  0.708237727134E-03
  0.379338628031E-03  0.723859389105E-03
  0.387665101558E-03  0.739748081366E-03
  0.396133904529E-03  0.755908368415E-03
  0.404747469867E-03  0.772344892773E-03
  0.413508272084E-03  0.789062376316E-03
  0.422418827988E-03  0.806065621635E-03
  0.431481697410E-03  0.823359513413E-03
  0.440699483935E-03  0.840949019830E-03
  0.450074835658E-03  0.858839193988E-03
  0.459610445933E-03  0.877035175364E-03
  0.469309054158E-03  0.895542191286E-03
  0.479173446555E-03  0.914365558436E-03
  0.489206456974E-03  0.933510684375E-03
  0.499410967703E-03  0.952983069097E-03
  0.509789910301E-03  0.972788306612E-03
  0.520346266439E-03  0.992932086547E-03
  0.531083068752E-03  0.101342019579E-02
  0.542003401716E-03  0.103425852013E-02
  0.553110402531E-03  0.105545304599E-02
  0.564407262025E-03  0.107700986211E-02
  0.575897225565E-03  0.109893516128E-02
  0.587583593996E-03  0.112123524219E-02
  0.599469724586E-03  0.114391651117E-02
  0.611559031991E-03  0.116698548406E-02
  0.623854989233E-03  0.119044878807E-02
  0.636361128704E-03  0.121431316370E-02
  0.649081043175E-03  0.123858546668E-02
  0.662018386832E-03  0.126327266988E-02
  0.675176876324E-03  0.128838186542E-02
  0.688560291829E-03  0.131392026661E-02
  0.702172478144E-03  0.133989521005E-02
  0.716017345787E-03  0.136631415778E-02
  0.730098872120E-03  0.139318469937E-02
  0.744421102494E-03  0.142051455412E-02
  0.758988151407E-03  0.144831157327E-02
  0.773804203692E-03  0.147658374228E-02
  0.788873515713E-03  0.150533918310E-02
  0.804200416591E-03  0.153458615650E-02
  0.819789309451E-03  0.156433306446E-02
  0.835644672677E-03  0.159458845258E-02
  0.851771061210E-03  0.162536101253E-02
  0.868173107848E-03  0.165665958452E-02
  0.884855524583E-03  0.168849315991E-02
