           6
         613           0
  0.000000000000E+00  0.000000000000E+00
  0.141236030267E-05 -0.162847319724E-05
  0.284886293360E-05 -0.328478287109E-05
  0.430992057220E-05 -0.496940484725E-05
  0.579595295206E-05 -0.668282308505E-05
  0.730738698153E-05 -0.842552981639E-05
  0.884465686636E-05 -0.101980256872E-04
  0.104082042344E-04 -0.120008199013E-04
  0.119984782627E-04 -0.138344303665E-04
  0.136159358060E-04 -0.156993838438E-04
  0.152610415287E-04 -0.175962160981E-04
  0.169342680377E-04 -0.195254720526E-04
  0.186360960188E-04 -0.214877059454E-04
  0.203670143741E-04 -0.234834814882E-04
  0.221275203630E-04 -0.255133720288E-04
  0.239181197449E-04 -0.275779607154E-04
  0.257393269241E-04 -0.296778406645E-04
  0.275916650984E-04 -0.318136151310E-04
  0.294756664086E-04 -0.339858976816E-04
  0.313918720919E-04 -0.361953123710E-04
  0.333408326370E-04 -0.384424939215E-04
  0.353231079427E-04 -0.407280879047E-04
  0.373392674782E-04 -0.430527509277E-04
  0.393898904473E-04 -0.454171508213E-04
  0.414755659541E-04 -0.478219668317E-04
  0.435968931729E-04 -0.502678898163E-04
  0.457544815199E-04 -0.527556224413E-04
  0.479489508286E-04 -0.552858793843E-04
  0.501809315274E-04 -0.578593875392E-04
  0.524510648214E-04 -0.604768862252E-04
  0.547600028757E-04 -0.631391273991E-04
  0.571084090038E-04 -0.658468758713E-04
  0.594969578571E-04 -0.686009095257E-04
  0.619263356196E-04 -0.714020195429E-04
  0.643972402044E-04 -0.742510106277E-04
  0.669103814547E-04 -0.771487012403E-04
  0.694664813473E-04 -0.800959238312E-04
  0.720662742002E-04 -0.830935250805E-04
  0.747105068837E-04 -0.861423661413E-04
  0.773999390345E-04 -0.892433228866E-04
  0.801353432746E-04 -0.923972861615E-04
  0.829175054325E-04 -0.956051620388E-04
  0.857472247698E-04 -0.988678720793E-04
  0.886253142099E-04 -0.102186353597E-03
  0.915526005723E-04 -0.105561559927E-03
  0.945299248097E-04 -0.108994460701E-03
  0.975581422497E-04 -0.112486042125E-03
  0.100638122841E-03 -0.116037307264E-03
  0.103770751401E-03 -0.119649276327E-03
  0.106956927875E-03 -0.123322986964E-03
  0.110197567590E-03 -0.127059494560E-03
  0.113493601517E-03 -0.130859872543E-03
  0.116845976544E-03 -0.134725212687E-03
  0.120255655744E-03 -0.138656625431E-03
  0.123723618651E-03 -0.142655240193E-03
  0.127250861545E-03 -0.146722205699E-03
  0.130838397732E-03 -0.150858690310E-03
  0.134487257844E-03 -0.155065882357E-03
  0.138198490128E-03 -0.159344990486E-03
  0.141973160747E-03 -0.163697244003E-03
  0.145812354093E-03 -0.168123893225E-03
  0.149717173091E-03 -0.172626209846E-03
  0.153688739521E-03 -0.177205487292E-03
  0.157728194335E-03 -0.181863041104E-03
  0.161836697993E-03 -0.186600209306E-03
  0.166015430786E-03 -0.191418352795E-03
  0.170265593185E-03 -0.196318855733E-03
  0.174588406178E-03 -0.201303125939E-03
  0.178985111626E-03 -0.206372595298E-03
  0.183456972618E-03 -0.211528720172E-03
  0.188005273833E-03 -0.216772981816E-03
  0.192631321909E-03 -0.222106886806E-03
  0.197336445820E-03 -0.227531967471E-03
  0.202121997259E-03 -0.233049782333E-03
  0.206989351021E-03 -0.238661916553E-03
  0.211939905402E-03 -0.244369982392E-03
  0.216975082601E-03 -0.250175619666E-03
  0.222096329128E-03 -0.256080496224E-03
  0.227305116216E-03 -0.262086308424E-03
  0.232602940250E-03 -0.268194781622E-03
  0.237991323193E-03 -0.274407670665E-03
  0.243471813021E-03 -0.280726760397E-03
  0.249045984175E-03 -0.287153866172E-03
  0.254715438005E-03 -0.293690834375E-03
  0.260481803236E-03 -0.300339542952E-03
  0.266346736433E-03 -0.307101901951E-03
  0.272311922478E-03 -0.313979854069E-03
  0.278379075053E-03 -0.320975375209E-03
  0.284549937135E-03 -0.328090475053E-03
  0.290826281491E-03 -0.335327197633E-03
  0.297209911194E-03 -0.342687621923E-03
  0.303702660139E-03 -0.350173862431E-03
  0.310306393565E-03 -0.357788069814E-03
  0.317023008598E-03 -0.365532431488E-03
  0.323854434791E-03 -0.373409172262E-03
  0.330802634681E-03 -0.381420554975E-03
  0.337869604351E-03 -0.389568881145E-03
  0.345057374004E-03 -0.397856491633E-03
  0.352368008549E-03 -0.406285767312E-03
  0.359803608188E-03 -0.414859129754E-03
  0.367366309026E-03 -0.423579041925E-03
  0.375058283680E-03 -0.432448008892E-03
  0.382881741906E-03 -0.441468578542E-03
  0.390838931231E-03 -0.450643342315E-03
  0.398932137603E-03 -0.459974935948E-03
  0.407163686043E-03 -0.469466040234E-03
  0.415535941315E-03 -0.479119381790E-03
  0.424051308607E-03 -0.488937733839E-03
  0.432712234219E-03 -0.498923917011E-03
  0.441521206266E-03 -0.509080800151E-03
  0.450480755397E-03 -0.519411301141E-03
  0.459593455516E-03 -0.529918387743E-03
  0.468861924526E-03 -0.540605078447E-03
  0.478288825079E-03 -0.551474443342E-03
  0.487876865340E-03 -0.562529604996E-03
  0.497628799768E-03 -0.573773739351E-03
  0.507547429905E-03 -0.585210076640E-03
  0.517635605182E-03 -0.596841902313E-03
  0.527896223736E-03 -0.608672557979E-03
  0.538332233244E-03 -0.620705442368E-03
  0.548946631770E-03 -0.632944012309E-03
  0.559742468626E-03 -0.645391783718E-03
  0.570722845245E-03 -0.658052332615E-03
  0.581890916079E-03 -0.670929296143E-03
  0.593249889497E-03 -0.684026373621E-03
  0.604803028713E-03 -0.697347327603E-03
